adc_clk_f should be 3307500, is 3428571 . sample_f should be 44100, is 45714. hclk is 48000000
1, 536872060, 10408, 1, -536813312, -7, -536813312

xaxis, Abuf0, Bbuf0, Cbuf0
200, 340787200, -8518448, 379584512, -1206
201, 376438784, -7534701, 380633088, -201
202, 414187520, -2601156, 377487360, -201
203, 435159040, 4935593, 368050176, -1207
204, 423624704, 11993846, 356515840, -2011
205, 384827392, 15288816, 347078656, -2011
206, 337641472, 13252742, 344981504, -1106
207, 301989888, 6671389, 357564416, 1005
208, 298844160, -1479883, 380633088, 3419
209, 319815680, -7825544, 405798912, 4626
210, 347078656, -10748608, 418381824, 3620
211, 363855872, -10702395, 411041792, 502
212, 363855872, -9389926, 390070272, -2715
213, 359661568, -8065988, 372244480, -3721
214, 355467264, -6997556, 361758720, -2715
215, 363855872, -5554761, 364904448, -703
216, 382730240, -2649382, 370147328, 804
217, 408944640, 2370424, 374341632, 905
218, 422576128, 8826398, 369098752, -100
219, 413138944, 14496452, 356515840, -1709
220, 380633088, 16879134, 348127232, -2011
221, 330301440, 14124329, 348127232, -804
222, 289406976, 6434570, 362807296, 1408
223, 281018368, -3239706, 387973120, 3821
224, 307232768, -10884658, 413138944, 4827
225, 347078656, -13942897, 426770432, 3721
226, 380633088, -12390828, 425721856, 1206
227, 396361728, -7996332, 405798912, -2011
228, 396361728, -2938923, 376438784, -4727
229, 383778816, 1068408, 354418688, -4928
230, 370147328, 3280781, 351272960, -2413
231, 361758720, 4012030, 355467264, 100
232, 357564416, 3869397, 368050176, 1609
233, 358612992, 3431480, 374341632, 1810
234, 359661568, 3014015, 370147328, 200
235, 357564416, 2469764, 359661568, -1408
236, 347078656, 1241618, 352321536, -1709
237, 327155712, -1466527, 351272960, -804
238, 311427072, -5667563, 357564416, 502
239, 308281344, -10187375, 372244480, 2011
240, 327155712, -13046528, 392167424, 3319
241, 367001600, -12102431, 406847488, 3318
242, 411041792, -6491630, 409993216, 1709
243, 442499072, 2662157, 396361728, -1005
244, 449839104, 12763521, 371195904, -3721
245, 432013312, 20801864, 349175808, -4525
246, 390070272, 24154402, 336592896, -3318
247, 334495744, 21238244, 346030080, -301
248, 286261248, 12485509, 373293056, 3520
249, 264241152, 550052, 403701760, 5531
250, 269484032, -11043064, 425721856, 5028
251, 304087040, -18981996, 426770432, 2212
252, 337641472, -21885423, 408944640, -1609
253, 361758720, -20695084, 382730240, -4224
254, 376438784, -16843378, 353370112, -5330
255, 384827392, -11557010, 330301440, -5028
256, 397410304, -5293635, 319815680, -3218
257, 404750336, 1552172, 328204288, -201
258, 416284672, 8603887, 346030080, 2514
259, 428867584, 15838033, 365953024, 3620
260, 424673280, 22151948, 383778816, 3620
261, 399507456, 25463030, 399507456, 3218
262, 360710144, 24178697, 406847488, 2212
263, 311427072, 17583481, 409993216, 1005
264, 267386880, 6206472, 407896064, 100
265, 235929600, -8111643, 405798912, -402
266, 231735296, -22477467, 404750336, -301
267, 264241152, -33056517, 396361728, -905
268, 318767104, -36821451, 381681664, -2212
269, 385875968, -32552824, 361758720, -3319
270, 441450496, -21184243, 341835776, -3821
271, 471859200, -5760756, 326107136, -3419
272, 465567744, 9539305, 318767104, -2212
273, 434110464, 20970547, 325058560, -100
274, 391118848, 26609592, 347078656, 2715
275, 349175808, 26296007, 376438784, 4928
276, 320864256, 21404074, 406847488, 5732
277, 316669952, 14525238, 422576128, 4425
278, 326107136, 8061736, 422576128, 1508
279, 338690048, 3079082, 408944640, -1307
280, 343932928, -597896, 390070272, -3117
281, 335544320, -4036265, 373293056, -3419
282, 326107136, -7880535, 364904448, -2413
283, 321912832, -11726446, 368050176, -502
284, 328204288, -14620084, 384827392, 1911
285, 357564416, -14828499, 396361728, 2715
286, 395313152, -11006993, 393216000, 804
287, 425721856, -3661696, 384827392, -1106
288, 443547648, 5543119, 363855872, -2816
289, 430964736, 13860230, 341835776, -4123
290, 397410304, 18428235, 329252864, -3318
291, 351272960, 17736451, 339738624, -200
292, 311427072, 12028114, 362807296, 3218
293, 291504128, 3379935, 390070272, 4827
294, 294649856, -5371545, 416284672, 5129
295, 322961408, -11407858, 426770432, 3520
296, 353370112, -13378306, 423624704, 703
297, 379584512, -11731285, 404750336, -2112
298, 393216000, -7760477, 379584512, -4224
299, 385875968, -3575962, 356515840, -4626
300, 367001600, -1026063, 352321536, -2614
301, 355467264, -256182, 357564416, 100
302, 362807296, 229731, 375390208, 2212
303, 381681664, 2000242, 387973120, 2916
304, 405798912, 5715323, 387973120, 1206
305, 418381824, 10710538, 380633088, -704
306, 407896064, 14889660, 372244480, -1508
307, 373293056, 15757901, 362807296, -1709
308, 326107136, 11740676, 362807296, -905
309, 293601280, 3600500, 375390208, 1207
310, 279969792, -6207925, 399507456, 3520
311, 290455552, -14933779, 420478976, 4324
312, 310378496, -20633313, 426770432, 2614
313, 331350016, -22860323, 415236096, -503
314, 357564416, -21562708, 384827392, -4023
315, 390070272, -16560524, 356515840, -5632
316, 433061888, -7566001, 331350016, -5129
317, 468713472, 4827223, 330301440, -2514
318, 478150656, 18075210, 339738624, 804
319, 450887680, 28357462, 358612992, 2715
320, 401604608, 32573904, 374341632, 3318
321, 349175808, 29894612, 390070272, 3017
322, 309329920, 21612795, 404750336, 2916
323, 284164096, 10017850, 419430400, 2816
324, 275775488, -2493192, 430964736, 2514
325, 285212672, -13572553, 426770432, 703
326, 305135616, -21490453, 414187520, -1609
327, 338690048, -25030801, 397410304, -2816
328, 376438784, -23592748, 381681664, -3117
329, 404750336, -18010394, 368050176, -2816
330, 420478976, -10051303, 359661568, -2112
331, 420478976, -1715619, 347078656, -2011
332, 412090368, 5401930, 334495744, -2413
333, 405798912, 10830253, 332398592, -1407
334, 395313152, 14426376, 342884352, 804
335, 378535936, 15702562, 359661568, 2614
336, 352321536, 14041575, 390070272, 4525
337, 321912832, 9109777, 415236096, 5330
338, 305135616, 1915466, 434110464, 4224
339, 305135616, -5474854, 438304768, 2212
340, 321912832, -11037734, 432013312, -201
341, 351272960, -13242239, 413138944, -2413
342, 381681664, -11649332, 386924544, -4324
343, 397410304, -7407868, 357564416, -5330
344, 396361728, -2564154, 342884352, -4224
345, 390070272, 1505622, 334495744, -2212
346, 386924544, 4616901, 336592896, -603
347, 392167424, 7339351, 352321536, 1709
348, 393216000, 9823103, 367001600, 2916
349, 379584512, 11030038, 380633088, 2715
350, 356515840, 9808851, 385875968, 1810
351, 326107136, 5595647, 390070272, 905
352, 305135616, -1033567, 402653184, 1609
353, 297795584, -8394378, 420478976, 2916
354, 315621376, -14140940, 435159040, 3117
355, 354418688, -15853747, 433061888, 1206
356, 399507456, -12483396, 406847488, -2715
357, 429916160, -5110174, 371195904, -5933
358, 440401920, 3799271, 333447168, -7040
359, 427819008, 11542200, 314572800, -5430
360, 391118848, 15522768, 315621376, -1709
361, 350224384, 14522872, 342884352, 2715
362, 324009984, 9628629, 377487360, 5933
363, 320864256, 3361476, 409993216, 6436
364, 335544320, -1801593, 429916160, 5028
365, 352321536, -4754440, 437256192, 2614
366, 357564416, -6093642, 423624704, -603
367, 347078656, -7330048, 395313152, -4023
368, 333447168, -9393795, 368050176, -5330
369, 331350016, -11690949, 358612992, -3519
370, 340787200, -12927266, 362807296, -502
371, 362807296, -11928178, 372244480, 1307
372, 389021696, -8101504, 371195904, 804
373, 405798912, -2152731, 356515840, -1508
374, 406847488, 4182541, 348127232, -2212
375, 400556032, 9439181, 342884352, -1307
376, 392167424, 13042136, 350224384, 201
377, 381681664, 14807486, 370147328, 2615
378, 370147328, 14694514, 393216000, 4123
379, 351272960, 12470220, 414187520, 4224
380, 336592896, 8275272, 423624704, 2916
381, 324009984, 2795222, 422576128, 804
382, 318767104, -3144055, 415236096, -804
383, 325058560, -8300110, 405798912, -1609
384, 337641472, -11641651, 400556032, -1407
385, 364904448, -12151623, 384827392, -2011
386, 380633088, -9939418, 365953024, -3319
387, 375390208, -7034625, 343932928, -3922
388, 348127232, -5822749, 329252864, -3520
389, 320864256, -7305185, 322961408, -2011
390, 315621376, -10020537, 326107136, -301
391, 334495744, -11374021, 347078656, 2313
392, 370147328, -9357752, 375390208, 4727
393, 401604608, -3749806, 395313152, 4626
394, 415236096, 3737901, 401604608, 2514
395, 398458880, 10153421, 396361728, 100
396, 370147328, 13210903, 398458880, -301
397, 342884352, 12599680, 403701760, 704
398, 326107136, 9310231, 403701760, 502
399, 319815680, 4818024, 401604608, -201
400, 324009984, 493547, 383778816, -1911
401, 346030080, -2063502, 352321536, -4727


