
adc_clk_f should be 600000, is 600000 . sample_f should be 8000, is 8000. hclk is 48000000
750, 178, 72
751, 174, 46
752, 175, -70
753, 191, -66
754, 163, 69
755, 162, 84
756, 167, -50
757, 142, -65
758, 136, 60
759, 154, 65
760, 113, -50
761, 115, -49
762, 94, 45
763, 94, 39
764, 89, -23
765, 98, -6
766, 71, 21
767, 52, -13
768, 71, -21
769, 51, 27
770, 28, 31
771, 46, -13
772, -2, -28
773, 22, -6
774, -2, 11
775, -8, 24
776, -24, 10
777, -35, -27
778, -5, -18
779, -45, 27
780, -74, 3
781, -23, -48
782, -81, 2
783, -69, 71
784, -54, 3
785, -101, -86
786, -73, -24
787, -92, 63
788, -84, 19
789, -107, -43
790, -89, -5
791, -91, 25
792, -115, -15
793, -105, -32
794, -101, 5
795, -137, 20
796, -68, 8
797, -155, -9
798, -108, -36
799, -95, -23
800, -132, 40
801, -109, 36
802, -129, -51
803, -109, -50
804, -143, 42
805, -92, 41
806, -129, -48
807, -121, -37
808, -99, 38
809, -124, 15
810, -102, -43
811, -116, -9
812, -130, 27
813, -84, -4
814, -134, -17
815, -87, 7
816, -109, -9
817, -126, -27
818, -49, 17
819, -135, 32
820, -81, -24
821, -82, -37
822, -97, 17
823, -72, 19
824, -97, -26
825, -59, -14
826, -53, 30
827, -98, 8
828, -37, -39
829, -62, -17
830, -63, 32
831, -11, 23
832, -56, -21
833, -3, -28
834, -14, 1
835, 3, 23
836, 5, 9
837, 27, -10
838, 29, -4
839, 28, 8
840, 34, -7
841, 73, -17
842, 66, 19
843, 44, 37
844, 116, -14
845, 64, -40
846, 101, 17
847, 127, 46
848, 101, -9
849, 144, -33
850, 104, 12
851, 161, 29
852, 149, 1
853, 141, 3
854, 146, 5
855, 180, -15
856, 168, 4
857, 158, 37
858, 159, -6
859, 183, -38
860, 199, 42
861, 164, 72
862, 179, -49
863, 183, -91
864, 181, 55
865, 180, 113
866, 154, -28
867, 183, -88
868, 178, 35
869, 133, 75
870, 193, -32
871, 137, -51
872, 165, 48
873, 161, 58
874, 135, -30
875, 161, -46
876, 124, 18
877, 158, 46
878, 149, 16
879, 101, -23
880, 171, -30
881, 95, 12
882, 118, 47
883, 127, 7
884, 102, -32
885, 89, 4
886, 118, 30
887, 85, -19
888, 81, -29
889, 75, 36
890, 92, 46
891, 60, -20
892, 53, -35
893, 98, 6
894, 24, 12
895, 50, -3
896, 49, 9
897, 43, 19
898, 27, 2
899, 24, -15
900, 12, -26
901, 35, -6
902, -8, 41
903, 29, 35
904, -18, -40
905, -10, -51
906, -5, 32
907, -16, 53
908, 6, -19
909, -51, -44
910, -28, 0
911, -16, 15
912, -41, 10
913, -50, 16
914, -59, -11
915, -46, -40
916, -54, 7
917, -68, 41
918, -68, -26
919, -99, -55
920, -43, 41
921, -114, 68
922, -67, -43
923, -95, -80
924, -118, 16
925, -72, 51
926, -111, -8
927, -88, -17
928, -121, 6
929, -95, -15
930, -105, -22
931, -99, 22
932, -114, 13
933, -95, -33
934, -97, -10
935, -97, 30
936, -94, -8
937, -103, -37
938, -89, 14
